filename,Mouth,Nasal,Skin,Stool
ID_ABHFUP,5.774205603346832e-05,0.9997403635654055,7.307415612808915e-05,0.00012882022243300233
ID_ADBLNY,6.060933897901451e-05,0.9997835284725701,7.645463869408988e-05,7.940754975683032e-05
ID_AFAEMB,0.9991630945848246,0.00012325348271818203,0.0005766250449734383,0.0001370268874838495
ID_AFBBWK,0.9997241472637922,8.228893166341693e-05,0.00010201729405756126,9.154651048675657e-05
ID_AGHEZK,0.9991861627158856,0.00017373420314659437,0.00044680877924952426,0.00019329430171818448
ID_AGKIYB,7.465807023058612e-05,7.362804500897212e-05,0.9997696704029051,8.204348185532231e-05
ID_AIQHUX,5.661575425835399e-05,6.566182386908158e-05,7.165618226089327e-05,0.9998060662396118
ID_AIVFAZ,6.076254152879071e-05,8.114829333526338e-05,7.692579595298438e-05,0.999781163369183
ID_AJCBOB,0.00013290504869872144,0.00019532454052417005,0.00016501960575992584,0.9995067508050173
ID_AJGVTS,0.9995418218442268,0.00010842072565772424,0.00022939494679331685,0.00012036248332210435
ID_AJKHOU,6.240477906812254e-05,0.9997753534917942,7.896052584732964e-05,8.328120329020837e-05
ID_AKDVQI,9.513101448619165e-05,0.999577524483688,0.00012861012300827862,0.00019873437881756358
ID_AKIAKB,5.9481600960941514e-05,0.00010895420200747047,7.531135884886699e-05,0.9997562528381827
ID_AKWSZD,6.050129095528853e-05,7.059237386092837e-05,7.637824103523349e-05,0.9997925280941485
ID_ALGOGQ,8.354695729852873e-05,8.969736731155764e-05,0.9997268819163637,9.98737590262485e-05
ID_ALHTER,8.95907820820566e-05,0.0001100774213641953,0.00011335017826123084,0.9996869816182926
ID_AMSOXU,0.947986398557206,0.0010406489208099456,0.04982499681287,0.0011479557091141396
ID_AMUYDZ,6.350875280682803e-05,0.9997769946672727,7.879974230407407e-05,8.069683761647575e-05
ID_ANSGID,0.0003819254315767534,0.0001553092299917762,0.9992932146579959,0.00016955068043556561
ID_AOQGWN,0.00017389389353672478,8.439883319070537e-05,0.999646744277017,9.49629962556266e-05
ID_AQDZLZ,6.28463059074385e-05,0.9997751056437375,7.945975959713653e-05,8.258829075792081e-05
ID_ARCTEP,6.336135790255013e-05,0.9997743945423696,8.015523468789559e-05,8.208886503996382e-05
ID_ARGCHE,6.570713356072902e-05,0.9997636690363972,8.873678821372415e-05,8.188704182829081e-05
ID_ASNCNV,9.416705595096369e-05,8.811183006270456e-05,0.9997196105448491,9.811056913706774e-05
ID_ATFRKF,0.00041838825871453716,0.9963027849310448,0.0005253965355198729,0.002753430274720813
ID_AUPWYI,6.383054128003784e-05,7.400887816590627e-05,8.067617996648799e-05,0.9997814844005876
ID_AUUTWM,0.00011223386310418406,9.20891680361033e-05,0.999693169477068,0.00010250749179178456
ID_AVMUKC,0.00019762759383812808,0.0001325119287056856,0.9995229774713906,0.00014688300606554167
ID_AVZMAJ,6.407096426106578e-05,0.999774353137122,8.007090154735189e-05,8.150499706947838e-05
ID_AWDNCQ,5.940166555157525e-05,0.9997304881315144,7.495007281786241e-05,0.00013516013011607647
ID_AWHBEB,5.830226533271874e-05,8.901607820351703e-05,7.382987119631726e-05,0.9997788517852675
ID_AWINYS,5.854107580841578e-05,0.00011488848997322442,7.417136306670756e-05,0.9997523990711517
ID_AWUOPA,6.088279182337968e-05,0.9997825575131631,7.706309122549453e-05,7.949660378806186e-05
ID_AYOAPD,0.9986137522013108,0.00022085185896392965,0.0009204366541608144,0.0002449592855644892
ID_AYRSVB,0.9997446825186798,7.78912376258804e-05,9.082736676100442e-05,8.659887693327727e-05
ID_AYUWST,6.584330504344797e-05,7.843900781589523e-05,8.47012813483439e-05,0.9997710164057922
ID_BAFNRW,7.631303444568133e-05,0.00010674495752390357,9.381594994611681e-05,0.9997231260580843
ID_BBHQDM,6.960955436289138e-05,7.05579457560017e-05,0.9997812595890436,7.857291083738363e-05
ID_BBHZGN,0.9984672620553331,0.00010215424299342026,0.001317893345392145,0.00011269035628126723
ID_BBZYDO,6.102043539594239e-05,7.060122631327664e-05,0.999789768329904,7.861000838668509e-05
ID_BCGAMY,0.08401543165499695,0.0004475062925482104,0.9149010275696208,0.000636034482834099
ID_BEHPUD,0.00012022104381370066,0.00014107578874035954,0.00015223776402848685,0.9995864654034174
ID_BFALNR,0.9995182009047571,9.916909940517628e-05,0.00027236368867308944,0.00011026630716456569
ID_BFHWMT,0.9996539848547414,8.718130170866656e-05,0.00016189404627321436,9.693979727664222e-05
ID_BGAGEX,0.0002863544790002844,0.000130521455201843,0.9994370507891949,0.00014607327660299117
ID_BGAQPG,0.018691553757253777,0.0002998178993400677,0.9805852080866035,0.0004234202568025396
ID_BGUKXP,6.261891909771996e-05,0.9997766550284913,7.922196502379577e-05,8.150408738717029e-05
ID_BGXBIY,5.991608793143578e-05,0.00014309935593796537,7.588758011992157e-05,0.9997210969760106
ID_BGXNSA,7.203515944199094e-05,8.301678770923963e-05,0.00010042019317740967,0.9997445278596714
ID_BIVMAZ,0.9996259932355729,8.732464294343924e-05,0.0001896125582111492,9.706956327252532e-05
